manufacturer_part_number,manufacturer,description,PLP Cross Part,Confidence Score,Reason of Match,H_PLPMatch,H_MatchReason
CB-44-3AL,AFL,EXTERNAL COIL BRACKET,80061195,100,"Direct Part Match (RFP_Historical Data (1).xlsx, Sheet1, rows 81-90)",,
3319,AFL,"1272 KCMIL ""BITTERN"" CONDUCTOR SPACER",MXCEC-R-42A-18-T100,65,"Conductor spacer match; 1272 kcmil ACSR falls within 500–1351.5 ACSR range of PLP spacer. Source: Sales Part Details -all fields (5).xlsx, rows 1698",MXCEC-450_AS,Human Reasons
ODEC640/64909,AFL,BOLTED DEADEND FOR OPGW,2900005PE,55,"Both describe a bolted dead-end for OPGW (Fiberlign OPGW Dead-Ends family); type aligns though exact cable diameter in input is not specified. Source: Sales Part Details -all fields (5).xlsx, rows 5677",,
YCBS,AFL,"Y-CLEVIS BALL, ANSI 52-5, 30K, 3/4"" PIN, 3-3/32"" LENGTH, 1-1/2"" OPENING DEPTH",BYC-30CM,80,"Ball Y‑Clevis 30K; hardware type and load rating align (ANSI 52-5 ball fitting). Source: Sales Part Details -all fields (5).xlsx, rows 17449",,
5050202,Performed Line Products,"HIGH MASS SPIRAL VIBRATION DAMPER FOR OPGW, (0.646"" DIA)",5050202,100,Exact PART NO match (5050202); desc: SPIRAL VIBRATION DAMPER .462-.563,,
8003041H3,Performed Line Products,"CUSHIONED DOWN LEAD CLAMP FOR UG CABLE, STEEL POLE MOUNTING",8003041H3,100,"Exact PART NO match (8003041H3); desc: DOWNLEAD CUSH w/1.2"" HDWR .375-.468",,
8003270H3,Performed Line Products,"ALUMINUM CUSHION DOWNLEAD CLAMP FOR OPGW, STEEL POLE MOUNTING",8003270H3,100,Exact PART NO match (8003270H3); desc: AL DOWNLEAD CUSH 1/2 HDWR .657-.703,,
3319,AFL,"1272 KCMIL ""BITTERN"" CONDUCTOR SPACER",,0,No suitable match found,,
710011655,AFL,"1/2"" - 13 UNC HEX HEAD BOLT ASSEMBLY w/FLAT WASHER, LOCK WASHER",,0,No suitable match found,,
,AFL,AC-86-646 OPGW,,0,No suitable match found,,
ANSH30L-BNC,AFL,"ANCHOR SHACKLE, 30K, 5/8"" PIN, 2-3/4"" LENGTH, 7/8"" MOUTH",,0,No suitable match found,,
APCKE678/693,AFL,CONNECTOR KIT FOR OPGW FIBER,,0,No suitable match found,,
BCK397/412,AFL,"CONNECTOR KIT FOR LOOSE TUBE CABLE, FOR SUBSTATION UG FO",,0,No suitable match found,,
BWAL50H/50H40,AFL,"ALUMINUM BOND WIRE, 40"" SECTION, 1/2"" STUD TERMINALS, w/ 1/2"" HARDWARE",,0,No suitable match found,,
CL-4,AFL,"CHAIN LINK, 30K, 2-1/4"" X 1"" EYE",,0,No suitable match found,,
ODELP10,AFL,FIBER OPTIC LINK PLATE,,0,No suitable match found,,
SB01-72,AFL,SPLICE BOX WITH 72 FIBER SPLICE TRAY,,0,No suitable match found,,
SB01FK,AFL,FURCATION KIT,,0,No suitable match found,,
SUME680/714,AFL,"SUSPENSION CLAMP, FOR OPGW",,0,No suitable match found,,
SE-SC,AFL,"SOCKET EYE, 30K, ANSI 52-5, 11/16"" PIN HOLE, 2-1/16"" LENGTH",,0,No suitable match found,,
